,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
0,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-01,4.0
1,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-02,1.94
2,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-03,5.5
3,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-04,4.17
4,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-05,1.39
5,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-06,4.73
6,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-07,3.24
7,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-08,6.9
8,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-09,1.16
9,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-10,1.24
10,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2007-12,4.67
11,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-01,1.84
12,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-02,5.59
13,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-03,4.56
14,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-04,2.12
15,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-05,5.17
16,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-06,5.45
17,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-07,2.93
18,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-08,2.36
19,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-09,1.99
20,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-10,1.67
21,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-11,1.92
22,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2008-12,6.71
23,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-01,3.84
24,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-02,0.93
25,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-03,1.81
26,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-04,2.58
27,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-05,3.76
28,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-06,2.97
29,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-07,5.79
30,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-08,1.86
31,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-09,2.17
32,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-10,2.99
33,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-11,0.74
34,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2009-12,4.11
35,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-01,2.85
36,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-02,3.23
37,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-03,2.77
38,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-04,2.21
39,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-05,4.97
40,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-06,4.38
41,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-07,4.66
42,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-08,2.35
43,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-09,3.0
44,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-10,3.21
45,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-11,2.99
46,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2010-12,3.84
47,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-01,2.33
48,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-02,3.68
49,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-03,5.12
50,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-04,6.68
51,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-05,6.47
52,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-06,2.93
53,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-07,3.3
54,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-08,3.21
55,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-09,4.87
56,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-10,4.97
57,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-11,4.26
58,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2011-12,3.55
59,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2012-01,3.7
60,US1PAAL0001,"BRIDGEVILLE 1.4 SW, PA US",40.3417,-80.1229,310.0,2012-02,1.22
